, that
Prayers, for
Presidency, and
President, Wilford
Previously, I
Proclamation, to
Prophet, Joseph
Quorum, of
R, Holland
Receiving, personal
Redeemer, Two
Regardless, of
Relief, Society
Repeatedly, past
Republic, of
Restoration, of
Resurrection, of
Revelation, continues
Russell, Ballard
Sabbath, a
Sacred, Grove
Sadly, Israels
Saints, Dear
Salt, Lake
Santa, Cruz
Satan, is
Satans, relentless
Savior, I
Saviors, Church
Second, Coming
Seek, to
Semiannual, General
September, 
Shanghai, will
She, opened
Should, there
Shout, We
Similarly, as
Simply, said
Since, the
Sister, Nelson
Sisters, you
Smith, is
Smiths, First
So, tonight
Society, meeting
Some, of
Son, Jesus
Sonthe, Master
Soul, bring
Spirit, of
Square, We
Statue, of
Study, and
Subsequently, God
Sunday, when
Symbolically, Jesus
Syracuse, Utah
Tabernacle, Choir
Take, time
Talk, about
Tallahassee, Florida
Tarawa, Kiribati
Temple, But
Temples, are
Ten, years
Testament, Church
Thank, you
That, kingdom
The, Church
Thee, to
Their, history
Them, In
Then, we
There, we
Therefore, the
These, eight
They, point
Think, of
This, fast
Thorvaldsens, marble
Though, todays
Three, of
Through, him
Throughout, the
Thus, the
Thy, people
To, prepare
Today, we
Transfiguration, The
Turbulent, times
Twelve, Apostles
Two, hundred
USA, He
United, Arab
Unusual, times
Utah, Dubai
Valley, suffered
Vanuatu, Lindon
Vila, Vanuatu
Vision, we
We, teach
Welcome, to
Well, with
Wendy, that
Western, Hemisphere
What, a
When, Thy
While, worshipping
Wilford, Woodruff
Will, you
With, reverence
Woodruff, foresaw
World, It
Yes, If
Yet, most
York, USA
You, my
Your, consistent
Zion, are
Zoom, every
a, blessing
abandoning, attitudes
ability, to
able, to
abounds, Therefore
about, the
absolute, eternal
absolutely, heroic
abundance, that
access, to
accident, a
accompanies, tribulation
accompany, them
accomplish, this
accomplishes, around
account, of
achieve, his
acknowledge, Context
across, the
act, in
action, As
actions, that
added, meaning
adding, once
addition, to
additional, power
adept, at
adjusted, The
admiration, for
admit, that
admitted, to
admonished, Saints
admonition, given
adoption, Each
adversary, And
affairs, of
affirm, that
affliction, and
afraid, because
after, His
aftermaths, have
again, commemorate
against, them
age, foreseen
agency, was
ago, President
agree, with
ahead, with
aid, for
all, eight
alleviate, human
allow, your
allows, us
alone, or
along, with
also, hear
altered, our
always, testify
am, well
ambition, Are
amen, Lord
amid, uncertainty
among, you
an, apostolic
ancestors, In
anchor, to
anchored, in
ancient, record
and, become
anew, truly
angel, Moroni
angels, are
anniversary, we
announce, plans
announced, to
announcements, which
another, worldwide
answer, to
anticipated, this
anticipation, Let
anxious, expectation
any, cause
anyoneon, either
anything, that
anywhere, you
apostleship, and
apostolic, blessing
appearance, of
appeared, to
appointment, only
appropriately, this
arch, reminds
architects, will
are, a
areas, where
arenas, and
aretemporally, emotionally
armed, with
armies, he
arms, and
around, the
as, you
ask, Brothers
asked, the
assaults, Dear
assembled, on
assembly, when
assist, them
associate, You
assure, you
astonished, exceedingly
astounded, Ponder
asunder, all
at, the
atoning, sacrifice
attacking, So
attacks, on
attendance, at
attended, the
attention, Everything
attitudes, and
auditorium, Little
authored, by
authority, vested
authorized, to
available, immediately
avoid, the
awaited, with
away, from
ballrooms, In
bands, of
baptism, we
baptize, by
baptized, by
battles, 
be, illness
beautiful, addition
became, complacent
because, they
become, a
becomes, part
been, endowedor
befall, mankind
before, the
began, 
begin, anew
begincan, be
behalf, we
being, good
beings, are
believe, It
believed, in
belittle, usor
beloved, brothers
beseech, Thee
best, to
better, understand
beyond, this
biblical, heroes
bicentennial, anniversary
billions, of
birth, the
black, and
bless, you
blessed, to
blessing, of
blessings, of
blessingsthat, of
blood, How
boastful, However
bold, and
bond, and
book, testifies
born, in
both, sides
boundless, gifts
bravely, carry
briefly, delayed
brighter, Just
bring, a
bringing, the
broke, their
broken, heart
brothers, and
build, and
building, faith
built, in
bump, into
burdens, and
but, rather
by, appointment
calamities, would
calendar, year
call, upon
called, for
calling, for
callings, And
calmer, times
came, as
can, still
cannot, rely
capacity, to
captured, my
care, for
carefully, coordinated
caregivers, protected
carry, on
carved, in
catalyst, for
cause, from
caused, shortages
celebrate, covenantbreaking
center, of
centers, on
central, to
centuries, This
century, ago
certain, things
challenge, for
challenges, my
change, your
changed, the
channels, have
charge, to
charged, to
checked, on
chief, cornerstone
child, of
children, everywhere
childrens, battles
choir, is
choirs, beautiful
choose, to
choosing, to
chose, to
chosen, to
chronicles, the
church, to
circumstance, The
circumstances, are
citizens, Because
city, with
civilizations, Their
clarity, Its
classic, rise
clean, white
cleansing, healing
clear, He
clearly, as
clever, For
clock, to
close, temples
closed, for
closer, to
closure, of
cloud, on
color, of
combined, with
come, shall
comes, in
comfort, to
comfortless, or
coming, to
commander, of
commandments, and
commemorate, the
commemorated, the
commence, a
commenced, a
commend, you
commit, to
commotion, let
communicate, more
communicates, simply
community, The
companion, scripture
companionship, of
compassion, and
compelled, to
compelling, ways
complacent, The
complexities, of
components, of
comprehendeth, all
concept, in
concerned, about
conclude, this
conclusion, of
conditions, such
confer, upon
conference, we
conferenceand, the
confidence, in
confirm, what
confirmed, a
congregation, will
congregations, will
connect, with
connected, as
conscious, and
consider, the
considered, the
consistent, with
constant, companionship
constantly, infiltrated
constitute, a
construct, eight
construction, When
contained, within
contemplate, this
contention, many
continue, to
continued, to
continues, I
continuing, revelation
controlled, caregivers
convene, a
convened, with
convert, becomes
coordinated, phased
copy, Study
corners, of
cornerstone, Jesus
correct, name
correction, I
could, result
counsel, In
counter, to
countries, These
country, this
couples, have
courage, increased
course, correction
covenant, people
covenantbreaking, we
covenanted, with
covenants, Please
create, a
created, And
creating, places
creative, ways
cries, and
crisis, and
crowning, part
crucial, for
cry, unto
culminates, with
cunning, 
curb, the
current, season
currently, suffering
curriculum, Come
customary, But
dad, with
daily, work
darkness, just
date, and
dated, April
daughters, We
day, I
days, of
deal, with
dear, brothers
death, Temples
decades, templeworthy
deceived, He
deceptions, of
decide, what
decisions, become
declaration, that
declare, that
declared, great
declaring, the
decreased, fear
decreed, words
dedicated, temples
dedicatory, prayer
deed, Minister
deep, love
deeply, that
defense, Likewise
definition, of
degree, desperation
delayed, but
delight, when
deliver, us
deliverance, to
demonstrated, that
demonstrates, how
departments, related
dependent, upon
depths, of
descend, upon
describe, these
description, and
desire, to
desperation, The
destination, place
destruction, and
determined, to
devastated, by
develop, personal
devil, and
devotion, to
did, not
died, We
different, He
differently, and
difficult, circumstances
difficulties, 
direct, him
direction, of
directs, all
disaster, or
disasters, our
discern, and
disciple, of
disciples, of
discover, the
disfavor, with
dispensation, Through
dispersion, of
disrupted, routines
disruptions, in
distancing, face
distress, when
divide, asunder
divine, plan
divinely, decreed
divinity, and
do, so
doctrine, of
does, not
doing, so
domain, names
done, so
dothat, the
down, from
draw, upon
during, times
dwell, Our
dying, She
each, of
eager, each
earlier, this
earliest, days
earth, That
earthly, ministry
earthquake, earlier
earthquakes, rock
easier, So
easy, it
economy, strengthened
effectively, Unusual
effects, of
effort, to
efforts, in
eight, new
either, side
elapsed, since
elect, and
electronic, transmission
eloquently, taught
else, can
email, domain
embankments, forts
embody, the
embrace, these
embraced, a
embracing, this
emerging, from
emotional, preparation
emotionally, and
employ, a
empty, auditorium
enables, you
encircled, by
encourage, you
end, of
endeavoreven, during
endowed, Today
endowedor, with
endowment, as
endowments, just
endure, such
enduring, joy
energy, to
engaged, This
enjoy, the
enough, to
enter, the
entering, this
entertainment, or
entire, Quorum
entities, and
entreat, Thee
entry, will
environment, of
equal, in
equally, crucial
erect, a
erected, But
especially, in
essential, ordinances
established, during
etched, in
eternal, life
eternity, Even
even, more
evening, Church
event, That
events, We
ever, lived
every, country
everything, we
everywhere, As
evil, look
exactly, what
example, whenever
exceedingly, because
excerpts, from
exemplary, citizens
exercise, our
exercising, our
exhausted, or
expand, my
expanding, faith
expansive, There
expectation, We
expected, while
experience, we
experienced, many
experiences, What
explains, the
exponentially, Many
express, my
expression, of
extend, relief
extended, in
extraordinary, efforts
eyes, We
face, We
faced, with
faces, towards
facility, use
fact, that
fail, them
faith, in
faithful, children
faithwhere, the
fall, of
familiar, to
families, together
family, of
far, beyond
fast, will
fasted, and
fasting, and
father, passed
fathers, and
favor, of
fear, and
feast, on
feasted, upon
feel, that
feeling, of
fell, Statue
felt, impressed
female, I
few, words
fewer, than
fidelity, to
fight, our
fill, our
filled, with
fills, me
finally, we
financial, reserves
find, and
finding, peace
fires, floods
firmly, on
first, saw
five, proclamations
flesh, Repeatedly
fleshy, tables
flooded, with
floods, plagues
flow, from
focus, on
follow, Thank
followers, of
following, locations
food, staples
for, each
force, of
forces, that
forefathers, have
foreordained, prophet
foresaw, conditions
foreseen, by
foretold, in
forever, in
forget, God
forsaken, thee
forth, Their
fortified, every
forts, and
forward, through
found, ways
foundation, of
foundations, must
founding, members
four, corners
fourth, generation
free, The
friends, Because
from, other
frontrow, seats
fulfill, our
fulfilled, in
full, heir
fully, embrace
fulness, Should
further, witness
future, with
gain, their
gained, the
gather, together
gathering, of
gave, themselves
general, conferenceand
generation, As
generations, to
generosity, He
gift, of
gifts, of
give, yourselves
given, in
gives, us
giving, their
gladly, declare
global, day
glories, are
glorified, my
glorious, days
glory, You
go, to
goes, forward
going, Your
gone, to
good, parents
goodness, and
gospel, of
gracious, invitation
grandchildren, now
granddaughterinlaw, During
grandeur, of
grandson, of
grandsons, was
granite, or
grant, unto
grasp, the
grateful, to
gratefully, acknowledge
gratified, to
gratitude, to
great, and
greater, courage
greatest, of
grieve, that
gripped, with
grips, of
groom, yourself
ground, for
group, assembled
grow, spiritually
grown, closer
guide, and
guided, to
habitation, in
habits, to
had, questions
hand, At
handkerchiefs, But
hands, My
happen, as
happening, right
happiness, and
hard, enough
harmonize, with
harmony, in
has, transpired
have, attended
he, learned
head, and
heads, of
heal, your
healing, consistent
health, may
hear, hearken
hearHis, Son
heard, from
hearken, to
heart, He
heartache, How
heartfelt, compassion
heartruly, hearHis
hearts, Since
heartwrenching, maze
heaven, There
heavenly, messengers
heavens, are
heavy, burdens
heed, the
heir, to
held, on
help, for
helped, them
helping, to
helps, anyoneon
her, divine
here, on
heroes, from
heroic, I
hide, his
highlight, for
highlights, On
him, God
his, dedicatory
historic, conference
history, It
hold, priesthood
holy, habitation
home, in
homes, true
honor, obey
honored, your
hope, for
hopes, that
hoping, for
hotel, ballrooms
hours, is
house, of
how, to
human, beings
humanitarian, aid
humankind, is
humbly, entreat
humility, we
hundred, years
identified, the
identifier, for
identify, The
ideologies, that
if, you
illness, among
illuminate, your
imagine, my
immediately, on
immersion, for
immovable, because
impact, those
imperative, to
implications, of
implored, us
importance, of
important, things
impressed, to
improve, your
in, the
inadvertently, remove
inaugurated, the
include, an
includes, the
including, Elijah
incomparable, life
increase, even
increased, faith
increases, in
increasing, faith
increasingly, pure
indexing, I
individual, saga
infiltrated, by
infinite, Atonement
influence, what
information, and
initial, phase
initially, she
initiated, by
initiative, that
insight, With
insomuch, that
inspired, by
inspiring, components
instances, just
instilling, faith
instruct, Joseph
instrumental, in
instruments, in
intact, The
intent, to
intentional, It
intentionally, hear
intently, on
international, impact
interpretation, of
into, 
intrigued, me
introduce, a
introduced, a
invitation, which
invite, all
invited, all
invites, all
invoking, the
involved, were
irreplaceable, influence
is, the
isolated, and
issue, the
issued, with
issues, become
it, becomes
its, fulness
job, Many
join, families
joined, in
joining, with
joy, Two
joyful, anticipation
just, before
keep, them
kept, coming
key, to
keys, of
kind, of
kingdom, is
knew, you
know, that
knowas, we
knowledge, with
known, His
knows, that
languages, will
largest, in
last, dispensation
lasting, effects
later, admitted
latter, days
latterday, covenant
launched, in
law, We
laws, and
lawseven, when
lay, hold
lead, these
leaders, and
learn, more
learned, that
learning, There
leave, a
led, to
left, comfortless
legal, status
let, us
lets, talk
life, or
lifelong, quest
lifes, purpose
lifted, please
light, of
like, Him
likes, of
limit, the
limited, as
line, of
lineage, the
list, of
listen, to
listening, to
literal, Resurrection
literally, change
literature, news
little, more
live, a
lived, And
lives, of
living, in
local, officials
location, I
locations, Church
long, identified
longer, even
longing, for
longplanned, and
look, down
looks, out
loom, largest
loose, the
lose, both
lost, from
lot, from
loud, bold
love, for
loved, ones
loves, His
loveth, those
loving, Father
made, in
magnificent, young
magnitude, of
maintain, yourself
major, civilizations
majority, of
make, your
makes, the
making, known
male, and
man, through
mandatethat, of
mankind, Yet
many, great
marble, statue
marketingsaturated, world
marriage, family
married, to
marvel, at
marvelous, things
masks, and
masksmillions, of
materials, We
matter, is
may, have
maze, of
me, I
meals, or
mean, for
meaner, So
meaning, The
meanings, of
means, to
meant, nearsighted
measures, However
media, Hear
medical, professionals
meet, separately
meeting, place
meetings, missionary
member, of
members, to
membersand, othersnow
memorable, and
memories, of
men, women
mens, hearts
mentioned, just
mercies, will
merciful, Being
mercy, 
message, of
messages, inspiring
messenger, He
messengers, came
met, with
metaphorical, earthquakes
might, do
mighty, prophet
millennia, he
million, members
millions, of
mind, which
mindful, of
minds, to
minister, to
ministering, of
ministries, and
ministry, of
minute, of
miracle, for
miracles, in
missing, in
mission, leaders
missionaries, there
missionariesand, for
missionary, service
missions, have
misunderstand, Him
misunderstoodimagine, the
modest, multipurpose
moment, have
moments, when
month, The
months, We
monument, not
more, my
morning, in
mortal, experiences
mortals, upon
most, is
mother, wrote
move, ahead
moved, This
moves, forward
moving, forward
much, fasting
muchneeded, renovation
multipurpose, meeting
music, has
must, be
muster, as
my, expression
myopic, meant
name, of
named, Peniel
namehear, ye
names, and
narrow, course
nation, of
natural, thing
near, his
nearsighted, And
need, to
needed, course
needs, you
nefarious, efforts
negotiate, the
neighbors, Some
net, to
never, again
new, temples
news, and
next, six
no, different
noisy, nefarious
nonissues, You
nor, will
normal, by
normalized, This
not, be
nothing, else
now, Expatriate
number, and
numbers, but
numerous, prophecies
obedient, to
obey, and
objectives, The
observe, the
obtain, a
occur, before
odd, to
of, Jesus
off, the
official, Church
officials, so
often, hear
old, We
on, earth
once, more
one, all
ones, I
ongoing, process
online, and
only, The
open, this
opened, Our
opinions, belittle
opportunities, for
opportunity, of
opposing, forces
oppressed, and
optimism, about
or, your
ordinance, teaches
ordinances, of
organization, of
organized, on
original, twelve
other, countries
others, fasted
othersnow, use
our, distress
ours, today
ourselves, and
out, but
outdoor, arenas
over, us
own, witness
pains, of
pandemic, may
parents, and
part, of
participate, in
participated, in
participating, by
participation, in
particularly, successfulwill
pass, I
passed, on
past, prophets
path, When
pattern, for
peace, and
penetrating, than
people, on
peoplephysically, or
perfect, life
performing, Thank
perilous, times
period, of
permit, let
persistent, rigorous
person, you
personal, ministry
perspective, Magnify
pertaining, to
phase, of
phased, reopening
physical, foundation
physically, and
physician, and
pictured, you
pivotal, work
place, for
placed, you
places, and
plagues, and
plainness, that
plan, for
planning, and
plans, to
plea, for
plead, for
pleading, for
pleadings, from
please, schedule
pleased, to
pleasures, of
pledged, that
point, the
pointed, to
ponder, what
popular, opinions
popularity, and
portrays, the
possible, I
posterity, broke
potential, Today
pour, down
power, and
powerful, influence
practiced, by
praise, and
praising, Them
pray, to
prayed, and
prayer, on
prayerfully, study
prayers, and
preach, of
preached, of
precedence, over
preceding, it
precious, granddaughterinlaw
prejudice, I
prelude, to
premillennial, gathering
preparation, for
prepare, the
prepared, ye
preparing, ourselves
presence, of
present, pandemic
presented, by
presently, not
prevail, in
prevailing, opinions
previously, recorded
priesthood, authority
prime, purpose
principal, website
principles, Moroni
priority, over
privately, and
privilege, to
proceedings, of
process, of
proclaim, that
proclamation, to
proclamations, have
proclamationwritten, not
professionals, scientists
profound, declaration
progress, And
project, to
projects, in
promise, that
promised, Second
promises, to
promote, respect
pronounced, upon
pronouncements, about
prophecies, about
prophesied, events
prophet, of
prophets, I
proportions, the
proselyting, missionaries
protect, you
protected, the
protective, masksmillions
proud, of
proved, what
proven, that
provide, a
provided, a
pulpits, across
pure, in
purpose, to
pursuits, The
put, our
qualify, by
quest, to
question, for
questioned, the
questions, regarding
quick, and
quietly, and
race, is
racism, and
rages, around
raging, The
rather, to
reaches, pandemic
reaching, out
read, the
ready, to
reality, of
realize, she
really, want
reap, rewards
reasons, you
reassurance, If
rebuke, the
recall, a
receive, the
received, their
recently, seen
recognition, of
recognize, the
record, the
recorded, in
redemption, Daily
reestablish, the
refer, to
referring, to
refers, to
refine, our
refuge, there
regard, we
regarding, the
regardless, of
regular, time
regularly, to
regulations, of
reinforced, the
reject, warnings
rejected, truth
relate, to
related, entities
relationships, that
relentless, assaults
relief, and
rely, upon
remain, intact
remains, unchanged
remarkable, prayer
remarkably, few
remember, the
remembers, the
remind, all
reminds, us
remission, of
remove, Him
rendition, of
renew, my
renovation, In
reopening, With
repent, and
repenting, daily
report, that
reported, by
representation, of
represented, the
representing, Christ
required, a
research, and
reserves, of
residesyour, home
resilient, and
resist, entertainment
resolve, I
resourceful, resilient
respect, the
respond, to
response, to
restitution, of
restoration, What
restore, the
restored, He
restrictions, are
result, from
resulting, in
resurrected, John
resurrection, will
retreat, will
return, We
reveal, many
revelation, The
revelators, Ordained
revere, Joseph
reverence, and
rewards, for
rich, abundance
right, now
righteous, Despite
righteousness, and
rigorous, spiritual
rise, and
risk, of
rock, our
room, for
rose, again
routines, and
runs, counter
sacred, name
sacrifice, of
safe, both
safeguard, the
safeguarding, your
safeplaces, of
safety, The
saga, of
said, and
salvation, and
same, as
sanctuaries, of
sanctuary, of
savings, Amidst
saw, the
say, to
saying, now
says, and
scarce, supplies
scattered, Israel
schedule, regular
scholars, I
scientists, and
scripture, to
scriptures, They
sealed, his
searching, for
season, Let
seats, to
security, prepare
see, our
seeing, the
seek, refuge
seeking, to
seem, odd
seen, excerpts
seers, and
sees, the
selected, the
selfreliant, we
send, proselyting
separated, through
separately, The
serious, challenge
seriously, limited
servants, to
serve, While
service, and
session, this
several, days
shall, cry
share, with
she, is
shift, Jill
shine, ever
shook, hard
shortages, of
should, be
show, forth
showered, with
shown, that
side, of
sides, of
significant, time
signify, the
signifying, our
simple, but
simply, cannot
since, this
sincere, questions
singing, The
singular, event
sins, Three
sisters, I
situation, The
six, new
skin, I
small, group
smiled, and
so, bless
sobering, terms
social, media
solemn, and
solemnly, proclaim
solid, Then
somber, prophecies
some, degree
someone, to
something, missing
sons, and
soon, follow
sorrow, to
soul, and
souls, are
speak, of
speaking, up
speaks, today
special, week
spend, your
spin, our
spirit, of
spirits, long
spiritual, capacity
spiritually, is
spirituallythe, more
spoke, those
spoken, previously
spread, of
spring, morning
stages, of
stakes, of
stand, in
standing, up
stands, at
staples, and
state, of
statue, the
status, there
stay, firmly
staying, firmly
steadfast, and
steadily, moving
steps, to
still, draw
stirs, my
stone, but
stoned, the
stop, think
stopped, He
stops, attacking
storage, or
store, our
storehouses, with
storm, because
strait, and
strength, and
strengthen, us
strengthened, as
strengthening, power
stretch, far
strictly, limited
strikingly, different
strive, to
striving, daily
strong, enough
stronger, greater
struggles, and
struggling, spiritually
studied, the
study, curriculum
stunning, plainness
style, guide
sublime, and
success, happiness
successfulwill, change
such, as
suddenly, found
suffered, a
suffering, and
summarized, by
summed, it
supplies, or
supreme, sacrifice
surgeon, I
surrounded, by
survival, especially
survive, spiritually
sustain, the
swallowed, up
sweeter, harmony
symbol, signifying
tables, of
take, the
taken, from
takes, to
taking, such
talk, about
taught, Then
teach, the
teaches, its
teaching, than
teachings, His
technology, we
tell, us
tempest, is
temple, closer
templein, the
temples, will
templethe, house
templeworthy, members
temporally, prepared
temporary, COVID
temptation, struggles
temptationeven, if
temptations, and
tend, to
tension, and
terms, He
tested, Through
testifies, that
testify, in
testimonies, and
testimony, with
text, include
th, anniversary
than, two
thank, you
thankful, I
that, the
the, sacred
thee, With
their, ancestors
them, and
themselves, to
then, to
theophany, initiated
there, be
these, pleadings
they, ask
thing, for
things, pertaining
think, more
thinking, more
third, day
this, time
those, moments
thought, we
thoughts, to
thousands, of
three, instances
thrive, spiritually
through, any
throughout, the
thus, shall
thwart, Satans
time, of
times, of
tirelessly, to
title, is
to, know
today, as
todays, restrictions
together, in
told, us
tomb, on
tomorrow, is
tonight, my
too, are
tourists, from
towards, this
training, centers
transcend, death
transcendent, vision
transformed, your
translate, an
translated, into
transmission, and
transpired, We
trial, We
trials, The
tribes, and
tribulation, makes
trouble, surrounded
true, sanctuaries
truly, to
trumpet, on
trusted, that
truth, and
truths, will
truthseither, because
trying, to
turbulence, increases
turbulent, times
turmoil, by
turn, their
turned, our
turning, point
tutored, children
twelve, ApostlesPeter
two, decades
ultimate, quest
uncertainty, and
unchanged, In
under, the
underscored, the
understand, what
understanding, he
undertaken, a
undo, the
unexpected, personal
unforgettable, because
unique, historic
unison, our
unite, in
unlike, any
unmarried, and
unsurpassable, Now
unto, them
unusual, rewards
unveiled, a
up, for
updated, Our
upheaval, As
uplift, for
upon, you
upside, down
upstate, New
urge, you
urged, us
us, I
use, entry
used, as
ushered, in
using, this
usor, each
valiant, disciples
various, stages
vast, magnitude
veil, of
veilto, make
venerable, temple
very, important
vested, in
victory, over
video, and
viewed, by
vigilance, in
virulent, virus
virus, lifes
visible, congregation
vision, he
visual, recognition
voice, and
walls, When
wander, or
wandered, away
want, you
wants, you
wards, and
warned, that
warnings, of
was, closed
watch, for
watched, you
watching, over
water, and
wave, your
way, for
ways, nothing
we, do
weakness, I
website, from
week, that
weeks, most
weep, with
welcome, you
welcomed, missionaries
welcoming, them
well, as
went, into
were, afraid
what, we
whatever, it
wheels, in
when, temples
whenever, He
where, the
wherever, we
whether, by
which, we
while, More
whisperings, of
white, handkerchiefs
who, spoke
whole, truth
wholeness, and
whom, the
whose, health
whosoever, will
why, the
wickedness, to
widely, known
wife, Sister
wildfires, and
wiles, of
will, of
willing, to
willingness, to
wisdom, and
with, the
withheld, from
within, a
without, access
withstand, natural
witness, of
wives, the
woman, of
women, and
wonder, If
wondered, if
wonderful, session
wondering, why
woods, to
word, of
words, of
wordsHear, HimGod
wordswords, of
work, with
working, around
world, Others
worldly, pursuits
worldnamely, the
worlds, commotion
worldwide, fast
worrying, about
worship, and
worshipping, in
worthy, Talk
would, like
wrestle, was
wrestled, with
writings, the
wrote, We
ye, him
yea, even
year, will
yearning, to
years, to
yesterday, The
yet, be
yoke, ourselves
you, in
youmessages, that
young, Joseph
your, loved
yours, I
yourself, so
yourselves, to
